period,group,count,amount
2025-05,Combo Items,0.0,0.0
2025-05,Combo Items Donot Delete,0.0,0.0
2025-05,Water,0.0,0.0
2025-05,Ramune - Melon,1.0,2.99
2025-05,Ramune - Orange,1.0,3.59
2025-06,Combo Items,0.0,0.0
2025-06,Prep item,0.0,0.0
2025-06,Water,0.0,0.0
2025-06,Add Boba,1.0,0.75
2025-06,White Rice-To Go,1.0,1.75
2025-07,Braised Chicken - 5 days exp,1.0,0.0
2025-07,Brew Tea - 5 days exp,7.0,0.0
2025-07,Chinese Bockchoy- 5 days exp,4.0,0.0
2025-07,Chunked Pork - 5 days exp,2.0,0.0
2025-07,Combo Items,0.0,0.0
2025-08,Braised Chicken - 5 days exp,4.0,0.0
2025-08,Brew Tea - 5 days exp,5.0,0.0
2025-08,Chunked Beef - 5 days exp,8.0,0.0
2025-08,Chunked Pork - 5 days exp,2.0,0.0
2025-08,Combo Items,0.0,0.0
2025-09,Combo Items,0.0,0.0
2025-09,Prep item,1.0,0.0
2025-09,Sliced Fruit  - 5 day expiration,1.0,0.0
2025-09,Water,0.0,0.0
2025-09,Mai‘s Special Sauce,1.0,1.0
2025-10,Combo Items,0.0,0.0
2025-10,Water,0.0,0.0
2025-10,soup to go,1.0,1.5
2025-10,Braised Chicken,1.0,3.25
2025-10,Ramune - Melon,1.0,3.66
