period,group,count,amount
2025-05,All Day Menu,0.0,61296.15
2025-05,Tossed Ramen,941.0,13539.42
2025-05,Ramen,822.0,12127.38
2025-05,Fried Chicken,787.0,7935.26
2025-05,Rice Noodle,541.0,7724.71
2025-06,All Day Menu,0.0,39433.25
2025-06,Tossed Ramen,510.0,7287.69
2025-06,Ramen,485.0,7116.7
2025-06,Lunch Special,444.0,6178.16
2025-06,Fried Chicken,551.0,5725.04
2025-07,All Day Menu,0.0,43088.72
2025-07,Ramen,631.0,9172.87
2025-07,Tossed Ramen,581.0,8147.01
2025-07,Lunch Special,426.0,5989.5
2025-07,Appetizer,901.0,5012.23
2025-08,All Day Menu,0.0,58601.83
2025-08,Ramen,861.0,12615.73
2025-08,Fried Chicken,746.0,8590.0
2025-08,Lunch Special,616.0,8320.94
2025-08,Tossed Ramen,480.0,6908.36
2025-09,All Day Menu,0.0,66146.96
2025-09,Ramen,990.0,14647.48
2025-09,Lunch Special,796.0,11213.14
2025-09,Fried Chicken,927.0,10955.24
2025-09,Appetizer,0.0,7227.69
2025-10,All Day Menu,0.0,64539.39
2025-10,Ramen,966.0,14163.65
2025-10,Fried Chicken,939.0,10965.23
2025-10,Lunch Special,732.0,10298.02
2025-10,Appetizer,0.0,7416.47
