source_page,source_table,group,count,amount,source_sheet,category,item,source_file,period,item_norm
1,1,Lunch Menu,269.0,3783.26,data 1,,,May_Data_Matrix (1),2025-05,lunch menu
1,1,Open Food,2.0,4.52,data 1,,,May_Data_Matrix (1),2025-05,open food
1,1,All Day Menu,,61296.15,data 1,,,May_Data_Matrix (1),2025-05,all day menu
1,1,Fried Chicken,787.0,7935.26,data 2,Fried Chicken,,May_Data_Matrix (1),2025-05,fried chicken
1,1,Combo Items,0.0,0.0,data 2,Combo Items,,May_Data_Matrix (1),2025-05,combo items
1,1,Drink,,2922.54,data 2,Drink,,May_Data_Matrix (1),2025-05,drink
1,1,Additonal,175.0,358.48,data 2,Additonal,,May_Data_Matrix (1),2025-05,additonal
1,1,Rice Noodle,524.0,7698.91,data 2,Rice Noodle,,May_Data_Matrix (1),2025-05,rice noodle
1,1,Wonton,50.0,546.94,data 2,Wonton,,May_Data_Matrix (1),2025-05,wonton
1,1,Milk Tea,244.0,1108.72,data 2,Milk Tea,,May_Data_Matrix (1),2025-05,milk tea
1,1,Combo Items Donot Delete,0.0,0.0,data 2,Combo Items Donot Delete,,May_Data_Matrix (1),2025-05,combo items donot delete
1,1,Appetizer,,6217.05,data 2,Appetizer,,May_Data_Matrix (1),2025-05,appetizer
1,1,Ramen,816.0,12118.38,data 2,Ramen,,May_Data_Matrix (1),2025-05,ramen
1,1,Tossed Rice Noodle,398.0,6000.15,data 2,Tossed Rice Noodle,,May_Data_Matrix (1),2025-05,tossed rice noodle
1,1,Lunch Special,269.0,3783.26,data 2,Lunch Special,,May_Data_Matrix (1),2025-05,lunch special
1,1,Tossed Ramen,941.0,13539.42,data 2,Tossed Ramen,,May_Data_Matrix (1),2025-05,tossed ramen
1,1,Fried Rice,214.0,2850.3,data 2,Fried Rice,,May_Data_Matrix (1),2025-05,fried rice
1,1,Open Food,2.0,4.52,data 2,Open Food,,May_Data_Matrix (1),2025-05,open food
1,1,Beef Tossed Ramen,468.0,6921.26,data 3,,Beef Tossed Ramen,May_Data_Matrix (1),2025-05,beef tossed ramen
1,1,Beef Ramen,339.0,5045.65,data 3,,Beef Ramen,May_Data_Matrix (1),2025-05,beef ramen
1,1,Lunch Special,269.0,3783.26,data 3,,Lunch Special,May_Data_Matrix (1),2025-05,lunch special
