ingredient,peak_month,peak_usage,low_month,low_usage,seasonal_variation_%,volatility,avg_monthly_usage
carrot,October,3120.0,July,750.0,316.0,998.1716619232719,1786.6666666666667
peas,October,3120.0,July,750.0,316.0,998.1716619232719,1786.6666666666667
rice,October,109200.0,July,26250.0,316.0,34936.00816731452,62533.333333333336
white onion,October,6240.0,July,1500.0,316.0,1996.3433238465439,3573.3333333333335
pickle cabbage,May,52300.0,October,24000.0,117.91666666666667,10389.64227808959,31916.666666666668
braised pork,September,70360.0,June,34800.0,102.183908045977,15178.136908066155,54680.0
ramen,May,1620.0,June,890.0,82.02247191011236,243.99132498239902,1186.1666666666667
braised chicken,May,116220.0,June,64760.0,79.46263125386041,17672.743986149973,86810.0
cilantro,May,43800.0,June,24620.0,77.90414297319252,6486.276795409418,32173.333333333332
green onion,May,46300.0,June,26160.0,76.98776758409785,7083.204547848853,35746.666666666664
egg,May,1220.0,June,692.5,76.17328519855594,203.47383124126796,983.0
boychoy,May,63650.0,June,37150.0,71.33243606998654,9218.970477589495,46791.666666666664
braised beef used,May,136360.0,June,80480.0,69.43339960238568,18571.598746473068,101590.0
rice noodles,May,171000.0,June,102300.0,67.15542521994135,25103.206966441558,126750.0
